Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,37659.76,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,37536.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,37240.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,37045.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,36801.00,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,36604.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,36533.03,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,36429.20,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Security,36353.40,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,36258.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,36146.48,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,35998.70,Subcontract
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,35898.16,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,35568.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,35462.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,35362.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,35353.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,35262.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,35257.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,35013.11,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,34986.55,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,34956.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,34867.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,34819.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,34558.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,34460.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,34213.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,34151.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,34010.92,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,33886.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,33490.26,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,33432.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,33399.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,33085.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,32684.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,32570.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,32282.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,32246.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,32219.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,32190.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,31881.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,31747.51,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,31607.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,31603.20,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,31505.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,31502.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,31404.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,31395.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,31342.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,31286.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,31171.52,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Catering,30908.52,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,30833.76,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,30780.35,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,30712.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,30135.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",FM management & administration,30060.65,Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,29971.28,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,29939.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,29709.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance",29632.16,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,29598.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,29440.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,29263.03,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,28963.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Fire and Security Equipment,28882.40,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,28820.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,28556.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,28487.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,28364.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,28256.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,28180.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,276991.91,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,27691.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,27689.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,27655.53,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,27626.10,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,27423.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,26712.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,26698.45,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,26451.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,26382.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,26295.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,26248.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,26248.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,26248.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,26237.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,26182.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,25995.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,25995.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,25995.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,25858.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,25833.00,Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,25686.22,Self Delivery
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,25680.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,25665.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,25623.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,25487.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,25482.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,25276.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,25098.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,25098.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,25098.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,25032.63,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,24702.04,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,24677.69,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,24519.50,Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,24443.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,24088.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,23466.00,Subcontract
